product_id,product_name,category,sub_category
off-pa-10000174,"message book, wirebound, four 5 1/2"" x 4"" forms/pg., 200 dupl. sets/book",office supplies,paper
off-bi-10004094,gbc standard plastic binding systems combs,office supplies,binders
off-la-10003223,avery 508,office supplies,labels
off-st-10002743,safco boltless steel shelving,office supplies,storage
off-ar-10003478,"avery hi-liter everbold pen style fluorescent highlighters, 4/pack",office supplies,art
fur-ch-10004063,global deluxe high-back manager's chair,furniture,chairs
off-ar-10001662,rogers handheld barrel pencil sharpener,office supplies,art
off-ar-10002399,"dixon prang watercolor pencils, 10-color set with brush",office supplies,art
off-fa-10001883,"alliance super-size bands, assorted sizes",office supplies,fasteners
off-pa-10000955,southworth 25% cotton granite paper & envelopes,office supplies,paper
off-pa-10002005,xerox 225,office supplies,paper
tec-ph-10004539,wireless extenders zboost yx545 soho signal booster,technology,phones
tec-ph-10004977,ge 30524ee4,technology,phones
off-bi-10003708,"acco four pocket poly ring binder with label holder, smoke, 1""",office supplies,binders
off-ar-10004078,newell 312,office supplies,art
tec-ac-10001266,memorex micro travel drive 8 gb,technology,accessories
fur-fu-10000965,"howard miller 11-1/2"" diameter ridgewood wall clock",furniture,furnishings
off-la-10004272,avery 482,office supplies,labels
fur-fu-10000010,"dax value u-channel document frames, easel back",furniture,furnishings
fur-ch-10000422,global highback leather tilter in burgundy,furniture,chairs
off-ar-10003514,4009 highlighters by sanford,office supplies,art
off-bi-10003476,avery metallic poly binders,office supplies,binders
off-bi-10004187,3-ring staple pack,office supplies,binders
off-en-10001532,brown kraft recycled envelopes,office supplies,envelopes
off-en-10001990,staple envelope,office supplies,envelopes
off-pa-10002947,xerox 1923,office supplies,paper
off-st-10000025,fellowes stor/drawer steel plus storage drawers,office supplies,storage
off-st-10000078,tennsco 6- and 18-compartment lockers,office supplies,storage
tec-ac-10003174,plantronics s12 corded telephone headset system,technology,accessories
fur-bo-10003433,sauder cornerstone collection library,furniture,bookcases
tec-ac-10003628,logitech 910-002974 m325 wireless mouse for web scrolling,technology,accessories
fur-fu-10001095,dax black cherry wood-tone poster frame,furniture,furnishings
off-bi-10001575,gbc linen binding covers,office supplies,binders
off-la-10001074,round specialty laser printer labels,office supplies,labels
tec-ph-10004614,at&t 841000 phone,technology,phones
off-ap-10000692,fellowes mighty 8 compact surge protector,office supplies,appliances
fur-bo-10001972,o'sullivan 4-shelf bookcase in odessa pine,furniture,bookcases
off-bi-10003676,"gbc standard recycled report covers, clear plastic sheets",office supplies,binders
off-en-10002504,"tyvek  top-opening peel & seel envelopes, plain white",office supplies,envelopes
fur-ch-10002331,hon 4700 series mobuis mid-back task chairs with adjustable arms,furniture,chairs
fur-fu-10002268,ultra door push plate,furniture,furnishings
fur-fu-10002918,eldon clustermat chair mat with cordless antistatic protection,furniture,furnishings
fur-fu-10003194,"eldon expressions desk accessory, wood pencil holder, oak",furniture,furnishings
off-ap-10002311,"holmes replacement filter for hepa air cleaner, very large room, hepa filter",office supplies,appliances
off-ar-10002375,newell 351,office supplies,art
off-ar-10003811,newell 327,office supplies,art
off-ar-10004456,panasonic kp-4abk battery-operated pencil sharpener,office supplies,art
off-bi-10000605,"acco pressboard covers with storage hooks, 9 1/2"" x 11"", executive red",office supplies,binders
off-bi-10003091,gbc docubind tl200 manual binding machine,office supplies,binders
off-bi-10004364,storex dura pro binders,office supplies,binders
off-en-10001539,staple envelope,office supplies,envelopes
off-pa-10002893,"wirebound service call books, 5 1/2"" x 4""",office supplies,paper
off-st-10000760,eldon fold 'n roll cart system,office supplies,storage
off-st-10003123,fellowes bases and tops for staxonsteel/high-stak systems,office supplies,storage
tec-ph-10001061,apple iphone 5c,technology,phones
fur-fu-10001889,ultra door pull handle,furniture,furnishings
fur-fu-10001025,"eldon imàge series desk accessories, clear",furniture,furnishings
fur-fu-10002445,"dax two-tone rosewood/black document frame, desktop, 5 x 7",furniture,furnishings
fur-fu-10002960,"eldon 200 class desk accessories, burgundy",furniture,furnishings
off-pa-10002689,weyerhaeuser first choice laser/copy paper (20lb. and 88 bright),office supplies,paper
tec-ph-10001300,"ikross bluetooth portable keyboard + cell phone stand holder + brush for apple iphone 5s 5c 5, 4s 4",technology,phones
off-fa-10003467,"alliance big bands rubber bands, 12/pack",office supplies,fasteners
off-pa-10001804,xerox 195,office supplies,paper
fur-bo-10004409,"safco value mate series steel bookcases, baked enamel finish on steel, gray",furniture,bookcases
fur-fu-10001847,eldon image series black desk accessories,furniture,furnishings
fur-fu-10004587,"ge general use halogen bulbs, 100 watts, 1 bulb per pack",furniture,furnishings
off-bi-10001758,wilson jones 14 line acrylic coated pressboard data binders,office supplies,binders
off-pa-10000380,"rediform incoming/outgoing call register, 11"" x 8 1/2"", 100 messages",office supplies,paper
off-pa-10003072,"eureka recycled copy paper 8 1/2"" x 11"", ream",office supplies,paper
off-st-10004337,"safco commercial wire shelving, 72h",office supplies,storage
tec-ph-10002103,jabra speak 410,technology,phones
tec-ph-10004833,macally suction cup mount,technology,phones
fur-ta-10003469,balt split level computer training table,furniture,tables
off-ar-10003179,dixon ticonderoga core-lock colored pencils,office supplies,art
off-st-10003692,recycled steel personal file for hanging file folders,office supplies,storage
off-bi-10000343,"pressboard covers with storage hooks, 9 1/2"" x 11"", light blue",office supplies,binders
off-pa-10001204,xerox 1972,office supplies,paper
off-st-10000991,space solutions hd industrial steel shelving.,office supplies,storage
fur-bo-10003966,"sauder facets collection library, sky alder finish",furniture,bookcases
tec-ac-10001432,enermax aurora lite keyboard,technology,accessories
off-bi-10000666,surelock post binders,office supplies,binders
off-fa-10001843,staples,office supplies,fasteners
tec-ph-10002890,at&t 17929 lendline telephone,technology,phones
off-bi-10002827,avery durable poly binders,office supplies,binders
off-bi-10004593,ibico laser imprintable binding system covers,office supplies,binders
off-bi-10004230,gbc recycled grain textured covers,office supplies,binders
off-pa-10000350,"message book, standard line ""while you were out"", 5 1/2"" x 4"", 200 sets/book",office supplies,paper
off-bi-10001196,"avery flip-chart easel binder, black",office supplies,binders
off-la-10002787,avery 480,office supplies,labels
tec-ph-10001615,at&t cl82213,technology,phones
tec-ph-10003645,aastra 57i voip phone,technology,phones
off-st-10001558,acco perma 4000 stacking storage drawers,office supplies,storage
tec-ac-10000710,maxell dvd-ram discs,technology,accessories
fur-fu-10002111,"master caster door stop, large brown",furniture,furnishings
fur-fu-10002298,"rubbermaid clustermat chairmats, mat size- 66"" x 60"", lip 20"" x 11"" -90 degree angle",furniture,furnishings
fur-ta-10003715,hon 2111 invitation series corner table,furniture,tables
off-bi-10003291,wilson jones leather-like binders with dubllock round rings,office supplies,binders
off-bi-10004728,wilson jones turn tabs binder tool for ring binders,office supplies,binders
off-la-10004853,avery 483,office supplies,labels
off-st-10002583,fellowes neat ideas storage cubes,office supplies,storage
fur-ch-10000225,"global geo office task chair, gray",furniture,chairs
off-ap-10001293,belkin 8 outlet surge protector,office supplies,appliances
off-pa-10000466,"memo book, 100 message capacity, 5 3/8” x 11”",office supplies,paper
off-su-10000157,compact automatic electric letter opener,office supplies,supplies
tec-ac-10000736,logitech g600 mmo gaming mouse,technology,accessories
off-bi-10001031,pressboard data binders by wilson jones,office supplies,binders
off-ap-10001303,"holmes cool mist humidifier for the whole house with 8-gallon output per day, extended life filter",office supplies,appliances
off-bi-10002012,wilson jones easy flow ii sheet lifters,office supplies,binders
off-ar-10003631,staples in misc. colors,office supplies,art
fur-fu-10002396,"dax copper panel document frame, 5 x 7 size",furniture,furnishings
off-st-10000321,akro stacking bins,office supplies,storage
fur-fu-10000221,"master caster door stop, brown",furniture,furnishings
off-pa-10003363,xerox 204,office supplies,paper
tec-ac-10001284,enermax briskie rf wireless keyboard and mouse combo,technology,accessories
off-pa-10001800,xerox 220,office supplies,paper
off-bi-10000320,gbc plastic binding combs,office supplies,binders
off-la-10004425,staple-on labels,office supplies,labels
off-pa-10000069,"tops 4 x 6 fluorescent color memo sheets, 500 sheets per pack",office supplies,paper
off-ar-10003560,zebra zazzle fluorescent highlighters,office supplies,art
fur-ch-10000863,novimex swivel fabric task chair,furniture,chairs
fur-ch-10001270,harbour creations steel folding chair,furniture,chairs
fur-ta-10001866,bevis round conference room tables and bases,furniture,tables
off-fa-10004395,plymouth boxed rubber bands by plymouth,office supplies,fasteners
off-pa-10003036,"black print carbonless 8 1/2"" x 8 1/4"" rapid memo book",office supplies,paper
off-st-10001469,fellowes bankers box recycled super stor/drawer,office supplies,storage
tec-ph-10003655,sannysis cute owl design soft skin case cover for samsung galaxy s4,technology,phones
off-pa-10000327,xerox 1971,office supplies,paper
off-pa-10000587,"array parchment paper, assorted colors",office supplies,paper
tec-ac-10004353,hypercom p1300 pinpad,technology,accessories
fur-ta-10002958,"bevis oval conference table, walnut",furniture,tables
off-ap-10002534,3.6 cubic foot counter height office refrigerator,office supplies,appliances
off-bi-10003429,"cardinal holdit! binder insert strips,extra strips",office supplies,binders
off-la-10000305,avery 495,office supplies,labels
off-st-10002486,eldon shelf savers cubes and bins,office supplies,storage
tec-ph-10004700,powergen dual usb car charger,technology,phones
off-ar-10001374,"bic brite liner highlighters, chisel tip",office supplies,art
off-st-10001370,sensible storage wiretech storage systems,office supplies,storage
off-ar-10000588,newell 345,office supplies,art
off-bi-10001617,gbc wire binding combs,office supplies,binders
off-pa-10001878,xerox 1891,office supplies,paper
off-su-10000381,acme forged steel scissors with black enamel handles,office supplies,supplies
tec-ac-10002001,logitech wireless gaming headset g930,technology,accessories
fur-ch-10002780,office star - task chair with contemporary loop arms,furniture,chairs
fur-ch-10004477,"global push button manager's chair, indigo",furniture,chairs
fur-ch-10004495,"global leather and oak executive chair, black",furniture,chairs
off-ar-10000390,newell chalk holder,office supplies,art
off-ar-10001427,newell 330,office supplies,art
off-bi-10004224,catalog binders with expanding posts,office supplies,binders
off-st-10000934,"contico 72""h heavy-duty storage system",office supplies,storage
off-st-10002344,"carina 42""hx23 3/4""w media storage unit",office supplies,storage
off-ar-10001044,"boston ranger #55 pencil sharpener, black",office supplies,art
off-pa-10002259,"geographics note cards, blank, white, 8 1/2"" x 11""",office supplies,paper
fur-fu-10003981,eldon wave desk accessories,furniture,furnishings
off-ap-10002578,"fellowes premier superior surge suppressor, 10-outlet, with phone and remote",office supplies,appliances
off-ar-10001770,economy #2 pencils,office supplies,art
off-fa-10001561,stockwell push pins,office supplies,fasteners
off-pa-10000213,xerox 198,office supplies,paper
off-pa-10002137,"southworth 100% résumé paper, 24lb.",office supplies,paper
tec-ph-10000984,panasonic kx-tg9471b,technology,phones
fur-fu-10001979,dana halogen swing-arm architect lamp,furniture,furnishings
fur-ch-10003379,global commerce series high-back swivel/tilt chairs,furniture,chairs
off-ar-10003723,avery hi-liter fluorescent desk style markers,office supplies,art
off-bi-10003007,"premium transparent presentation covers, no pattern/clear, 8 1/2"" x 11""",office supplies,binders
