order_id,customer_id,product_id,order_date_id,ship_date_id,sales,quantity,discount,profit
us-2023-103800,dp-13000,off-pa-10000174,20230103,20230107,16.448,2,0.2,5.5512
us-2023-112326,po-19195,off-bi-10004094,20230104,20230108,3.54,2,0.8,-5.487
us-2023-112326,po-19195,off-la-10003223,20230104,20230108,11.784,3,0.2,4.2717
us-2023-112326,po-19195,off-st-10002743,20230104,20230108,272.736,3,0.2,-64.7748
us-2023-141817,mb-18085,off-ar-10003478,20230105,20230112,19.536,3,0.2,4.884
us-2023-167199,me-17320,fur-ch-10004063,20230106,20230110,2573.82,9,0.0,746.4078
us-2023-167199,me-17320,off-ar-10001662,20230106,20230110,5.48,2,0.0,1.4796
us-2023-106054,jo-15145,off-ar-10002399,20230106,20230107,12.78,3,0.0,5.2398
us-2023-167199,me-17320,off-fa-10001883,20230106,20230110,31.12,4,0.0,0.3112
us-2023-167199,me-17320,off-pa-10000955,20230106,20230110,6.54,1,0.0,3.0084
us-2023-130813,ls-17230,off-pa-10002005,20230106,20230108,19.44,3,0.0,9.3312
us-2023-167199,me-17320,tec-ph-10004539,20230106,20230110,755.96,4,0.0,204.1092
us-2023-167199,me-17320,tec-ph-10004977,20230106,20230110,391.98,2,0.0,113.6742
us-2023-105417,vs-21820,off-bi-10003708,20230107,20230112,10.43,7,0.8,-18.2525
us-2023-135405,ms-17830,off-ar-10004078,20230109,20230113,9.344,2,0.2,1.168
us-2023-135405,ms-17830,tec-ac-10001266,20230109,20230113,31.2,3,0.2,9.75
us-2023-149020,aj-10780,fur-fu-10000965,20230110,20230115,51.94,1,0.0,21.2954
us-2023-149020,aj-10780,off-la-10004272,20230110,20230115,2.89,1,0.0,1.3583
us-2023-130092,sv-20365,fur-fu-10000010,20230111,20230114,9.94,2,0.0,3.0814
us-2023-109232,nd-18370,fur-ch-10000422,20230113,20230116,545.94,6,0.0,87.3504
us-2023-157147,bd-11605,off-ar-10003514,20230113,20230118,19.9,5,0.0,6.567
us-2023-118192,mm-17920,off-bi-10003476,20230113,20230118,3.438,2,0.7,-2.5212
us-2023-162775,cs-12250,off-bi-10004187,20230113,20230115,5.64,3,0.0,2.7072
us-2023-162775,cs-12250,off-en-10001532,20230113,20230115,50.94,3,0.0,25.47
us-2023-162775,cs-12250,off-en-10001990,20230113,20230115,11.36,2,0.0,5.3392
us-2023-118192,mm-17920,off-pa-10002947,20230113,20230118,37.408,7,0.2,13.0928
us-2023-162775,cs-12250,off-st-10000025,20230113,20230115,572.58,6,0.0,34.3548
us-2023-157147,bd-11605,off-st-10000078,20230113,20230118,1325.85,5,0.0,238.653
us-2023-162775,cs-12250,tec-ac-10003174,20230113,20230115,646.74,6,0.0,258.696
us-2023-149524,bs-11590,fur-bo-10003433,20230114,20230115,61.96,4,0.5,-53.2856
us-2023-103366,eh-13990,tec-ac-10003628,20230115,20230117,149.95,5,0.0,65.978
us-2023-115791,dl-13315,fur-fu-10001095,20230116,20230118,127.104,6,0.2,28.5984
us-2023-115791,dl-13315,off-bi-10001575,20230116,20230118,18.588,2,0.7,-13.6312
us-2023-115791,dl-13315,off-la-10001074,20230116,20230118,30.072,3,0.2,10.1493
us-2023-115791,dl-13315,tec-ph-10004614,20230116,20230118,124.2,3,0.4,-31.05
us-2023-123477,dw-13195,off-ap-10000692,20230118,20230121,64.864,4,0.2,6.4864
us-2023-146591,ts-21340,fur-bo-10001972,20230119,20230120,181.47,5,0.7,-320.597
us-2023-146591,ts-21340,off-bi-10003676,20230119,20230120,32.34,10,0.7,-23.716
us-2023-146591,ts-21340,off-en-10002504,20230119,20230120,108.72,5,0.2,36.693
us-2023-147627,hl-15040,fur-ch-10002331,20230120,20230126,1067.94,3,0.0,224.2674
us-2023-167927,xp-21865,fur-fu-10002268,20230120,20230126,14.73,3,0.0,4.8609
us-2023-167927,xp-21865,fur-fu-10002918,20230120,20230126,272.94,3,0.0,30.0234
us-2023-147627,hl-15040,fur-fu-10003194,20230120,20230126,38.6,4,0.0,11.58
us-2023-148614,mv-17485,fur-fu-10003194,20230120,20230125,19.3,2,0.0,5.79
us-2023-167927,xp-21865,off-ap-10002311,20230120,20230126,247.716,4,0.1,93.5816
us-2023-147627,hl-15040,off-ar-10002375,20230120,20230126,22.96,7,0.0,6.6584
us-2023-147627,hl-15040,off-ar-10003811,20230120,20230126,6.63,3,0.0,1.7901
us-2023-167927,xp-21865,off-ar-10004456,20230120,20230126,43.92,3,0.0,12.7368
us-2023-167927,xp-21865,off-bi-10000605,20230120,20230126,19.05,5,0.0,8.9535
us-2023-147774,mm-18280,off-bi-10003091,20230120,20230126,67.194,1,0.7,-51.5154
us-2023-167927,xp-21865,off-bi-10004364,20230120,20230126,29.7,5,0.0,13.365
us-2023-147627,hl-15040,off-en-10001539,20230120,20230126,23.34,3,0.0,10.9698
us-2023-148614,mv-17485,off-pa-10002893,20230120,20230125,19.36,2,0.0,9.2928
us-2023-167927,xp-21865,off-st-10000760,20230120,20230126,13.98,1,0.0,4.0542
us-2023-167927,xp-21865,off-st-10003123,20230120,20230126,66.58,2,0.0,15.9792
us-2023-147627,hl-15040,tec-ph-10001061,20230120,20230126,699.93,7,0.0,181.9818
us-2023-110422,tb-21400,fur-fu-10001889,20230121,20230123,25.248,3,0.2,4.1028
ca-2023-115238,jw-15220,fur-fu-10001025,20230121,20230124,24.3,5,0.0,10.45
ca-2023-115238,jw-15220,fur-fu-10002445,20230121,20230124,9.48,1,0.0,3.79
ca-2023-115238,jw-15220,fur-fu-10002960,20230121,20230124,31.4,5,0.0,13.19
ca-2023-115238,jw-15220,off-pa-10002689,20230121,20230124,6.48,1,0.0,3.11
ca-2023-115238,jw-15220,tec-ph-10001300,20230121,20230124,209.5,10,0.0,58.66
us-2023-146997,sg-20605,off-fa-10003467,20230123,20230127,5.94,3,0.0,0.0
us-2023-102645,im-15055,off-pa-10001804,20230123,20230128,40.08,6,0.0,19.2384
us-2023-167997,ca-11965,fur-bo-10004409,20230126,20230129,141.96,2,0.0,39.7488
us-2023-155502,sd-20485,fur-fu-10001847,20230126,20230131,12.42,3,0.0,4.4712
us-2023-155502,sd-20485,fur-fu-10004587,20230126,20230131,62.82,3,0.0,30.7818
us-2023-167997,ca-11965,off-bi-10001758,20230126,20230129,10.68,2,0.0,5.0196
us-2023-155502,sd-20485,off-pa-10000380,20230126,20230131,16.68,2,0.0,8.34
us-2023-155502,sd-20485,off-pa-10003072,20230126,20230131,19.44,3,0.0,9.3312
us-2023-155502,sd-20485,off-st-10004337,20230126,20230131,489.92,8,0.0,0.0
us-2023-155502,sd-20485,tec-ph-10002103,20230126,20230131,187.98,2,0.0,52.6344
us-2023-155502,sd-20485,tec-ph-10004833,20230126,20230131,155.35,13,0.0,0.0
us-2023-117163,ej-13720,fur-ta-10003469,20230127,20230202,333.0,3,0.2,-16.65
us-2023-117163,ej-13720,off-ar-10003179,20230127,20230202,36.44,4,0.0,12.0252
us-2023-117163,ej-13720,off-st-10003692,20230127,20230202,57.23,1,0.0,14.3075
us-2023-100328,jc-15340,off-bi-10000343,20230128,20230203,3.928,1,0.2,1.3257
us-2023-134103,mv-18190,off-pa-10001204,20230130,20230204,10.56,2,0.0,4.752
us-2023-134103,mv-18190,off-st-10000991,20230130,20230204,229.94,2,0.0,6.8982
us-2023-115161,lc-17050,fur-bo-10003966,20230131,20230202,290.666,2,0.15,3.41959999999999
us-2023-140795,bd-11500,tec-ac-10001432,20230201,20230203,468.9,6,0.0,206.316
us-2023-123400,eb-13930,off-bi-10000666,20230202,20230209,18.336,2,0.7,-12.224
us-2023-139857,cd-12790,off-fa-10001843,20230202,20230206,12.35,5,0.0,5.8045
us-2023-123400,eb-13930,tec-ph-10002890,20230202,20230209,180.96,5,0.2,13.572
us-2023-111059,tb-21400,off-bi-10002827,20230203,20230206,13.272,3,0.2,4.3134
us-2023-111059,tb-21400,off-bi-10004593,20230203,20230206,83.84,2,0.2,27.248
us-2023-104808,mh-17440,off-bi-10003676,20230204,20230208,17.248,2,0.2,6.0368
us-2023-107181,db-13270,off-bi-10004230,20230204,20230208,82.896,3,0.2,29.0136
us-2023-107181,db-13270,off-pa-10000350,20230204,20230208,34.24,4,0.0,16.0928
us-2023-108182,dl-13315,off-bi-10001196,20230206,20230210,8.952,2,0.8,-14.7708
us-2023-131905,nd-18460,off-la-10002787,20230206,20230209,15.0,4,0.0,7.2
us-2023-131905,nd-18460,tec-ph-10001615,20230206,20230209,144.95,5,0.0,42.0355
us-2023-131905,nd-18460,tec-ph-10003645,20230206,20230209,161.61,1,0.0,42.0186
us-2023-169390,cs-12250,off-st-10001558,20230207,20230210,64.96,4,0.0,9.744
us-2023-107755,ck-12760,tec-ac-10000710,20230207,20230212,115.36,7,0.0,49.6048
us-2023-125759,nm-18445,fur-fu-10002111,20230208,20230209,14.56,2,0.0,5.5328
us-2023-168368,ga-14725,fur-fu-10002298,20230211,20230215,332.94,3,0.0,53.2704
us-2023-127614,nf-18385,fur-ta-10003715,20230211,20230215,1256.22,6,0.0,75.3731999999999
us-2023-127614,nf-18385,off-bi-10003291,20230211,20230215,17.46,2,0.0,8.2062
us-2023-168368,ga-14725,off-bi-10004728,20230211,20230215,9.64,2,0.0,4.4344
us-2023-168368,ga-14725,off-la-10004853,20230211,20230215,14.94,3,0.0,6.8724
us-2023-168368,ga-14725,off-st-10002583,20230211,20230215,64.96,2,0.0,2.5984
us-2023-127614,nf-18385,tec-ac-10001432,20230211,20230215,234.45,3,0.0,103.158
us-2023-110674,sc-20095,fur-ch-10000225,20230212,20230218,129.568,2,0.2,-24.294
us-2023-121762,ml-17395,off-ap-10001293,20230214,20230218,81.96,2,0.0,22.9488
us-2023-107706,st-20530,off-pa-10000466,20230214,20230219,16.176,3,0.2,6.066
us-2023-121762,ml-17395,off-su-10000157,20230214,20230218,238.62,2,0.0,4.77240000000001
us-2023-121762,ml-17395,tec-ac-10000736,20230214,20230218,239.97,3,0.0,86.3892
us-2023-165568,bf-11020,off-bi-10001031,20230215,20230219,21.36,5,0.2,7.209
us-2023-122567,mn-17935,off-ap-10001303,20230216,20230221,7.96,2,0.8,-13.93
us-2023-122567,mn-17935,off-bi-10002012,20230216,20230221,1.08,3,0.8,-1.728
us-2023-154165,dl-13315,off-ar-10003631,20230217,20230224,54.208,14,0.2,8.8088
us-2023-165589,tb-21595,fur-fu-10002396,20230218,20230218,25.16,5,0.6,-11.322
us-2023-152905,ab-10015,off-st-10000321,20230218,20230224,12.624,2,0.2,-2.5248
us-2023-109491,lc-16930,fur-fu-10000221,20230220,20230226,20.32,4,0.0,6.9088
us-2023-164903,sr-20740,off-pa-10003363,20230220,20230224,12.96,2,0.0,6.2208
us-2023-109491,lc-16930,tec-ac-10001284,20230220,20230226,62.31,3,0.0,22.4316
us-2023-165540,tm-21010,off-bi-10004094,20230221,20230225,8.85,5,0.8,-13.7175
us-2023-133354,sa-20830,off-pa-10001800,20230222,20230224,19.44,3,0.0,9.3312
us-2023-103744,mg-17875,off-bi-10000320,20230223,20230227,4.428,3,0.8,-6.8634
us-2023-103744,mg-17875,off-la-10004425,20230223,20230227,6.936,3,0.2,2.3409
us-2023-137680,jh-15430,off-pa-10000069,20230224,20230302,22.776,3,0.2,7.6869
us-2023-137680,jh-15430,off-pa-10000174,20230224,20230302,32.896,4,0.2,11.1024
us-2023-156545,js-16030,off-ar-10003560,20230227,20230303,19.456,4,0.2,3.4048
us-2023-113880,vf-21715,fur-ch-10000863,20230301,20230305,634.116,6,0.3,-172.1172
us-2023-131009,sc-20380,fur-ch-10001270,20230301,20230305,362.25,6,0.3,0.0
us-2023-104269,db-13060,fur-ch-10004063,20230301,20230306,457.568,2,0.2,51.4763999999999
us-2023-131009,sc-20380,fur-fu-10001095,20230301,20230305,63.552,6,0.6,-34.9536
